step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
101,79050,202,0.022575951864517364,1.0,1.0,,,,,
102,79868,204,0.026135949475124917,0.5,0.75,,,,,
103,80398,206,0.02505877623647173,1.0,1.0,,,,,
104,81248,208,0.010931564671115649,1.0,1.0,,,,,
105,81858,210,0.022727027473125945,1.0,1.0,0.026758851415353453,0.5,0.75,,
106,82212,212,0.022611781349503212,1.0,1.0,,,,,
107,82806,214,0.02861224401736591,0.5,0.75,,,,,
108,83256,216,0.022053978541560226,1.0,1.0,,,,,
109,83642,218,0.02403371995710889,0.5,0.75,,,,,
110,84396,220,0.02246524944374966,0.5,0.75,,,,,
111,84766,222,0.02636733953157091,1.0,1.0,,,,,
112,85040,224,0.027153456968337514,1.0,1.0,,,,,
113,87090,226,0.020127771163283653,1.0,1.0,0.0257128036066636,1.0,1.0,,
114,87380,228,0.022757623451988264,1.0,1.0,,,,,
115,88246,230,0.018801991951680537,1.0,1.0,,,,,
116,88648,232,0.030460901669843582,1.0,1.0,,,,,
117,90474,234,0.0184147895196442,1.0,1.0,,,,,
118,91420,236,0.01488526950184339,1.0,1.0,,,,,
119,92030,238,0.027420213061043464,1.0,1.0,,,,,
120,92768,240,0.023876695869872178,0.5,0.75,,,,,
121,93682,242,0.021215396622489942,1.0,1.0,0.016029281920464787,1.0,1.0,,
122,94596,244,0.01799601936190524,0.5,0.75,,,,,
123,95622,246,0.02048947439478553,1.0,1.0,,,,,
124,96328,248,0.016477532559247266,1.0,1.0,,,,,
125,96810,250,0.02612979788419519,1.0,1.0,,,,,
126,97292,252,0.026371485505157277,1.0,1.0,,,,,
127,97614,254,0.02638807536808781,0.5,0.75,,,,,
128,97968,256,0.016976046701647235,1.0,1.0,,,,,
129,98194,258,0.023266128252928737,1.0,1.0,0.023733696009493235,1.0,1.0,,
130,98964,260,0.027774190042545877,0.5,0.75,,,,,
131,100118,262,0.02587601233965327,1.0,1.0,,,,,
132,100952,264,0.01917918100024578,1.0,1.0,,,,,
133,101930,266,0.022789596840049678,0.5,0.75,,,,,
134,103436,268,0.020448589707497224,1.0,1.0,,,,,
135,103758,270,0.025512817932147297,0.5,0.75,,,,,
136,104272,272,0.02620795498153939,0.5,0.75,,,,,
137,104882,274,0.02545517452045512,1.0,1.0,0.017622668863449795,1.0,1.0,,
138,104996,276,0.03809133472066606,1.0,1.0,,,,,
139,105798,278,0.017874907206922218,1.0,1.0,,,,,
140,105976,280,0.025543247646697142,1.0,1.0,,,,,
141,107546,282,0.020402644511523065,1.0,1.0,,,,,
142,109756,284,0.022787673969861002,1.0,1.0,,,,,
143,110062,286,0.02492395485875405,1.0,1.0,,,,,
144,111088,288,0.023221244801176794,1.0,1.0,,,,,
145,112018,290,0.018766353946194962,1.0,1.0,0.02927820276672719,0.5,0.75,,
146,112292,292,0.027323396271664052,1.0,1.0,,,,,
147,112710,294,0.03241690896409776,0.5,0.75,,,,,
148,113560,296,0.022382106020564126,1.0,1.0,,,,,
149,114442,298,0.017027164907800978,1.0,1.0,,,,,
150,118092,300,0.008447839345852103,0.5,0.75,,,,,
151,119550,302,0.0070776003750556765,1.0,1.0,,,,,
152,119856,304,0.027932037491524456,0.5,0.75,,,,,
153,122050,306,0.005965193321246368,1.0,1.0,0.022377666288446563,1.0,1.0,,
154,125268,308,0.01761272363893061,1.0,1.0,,,,,
155,126454,310,0.02471663960632312,1.0,1.0,,,,,
156,127128,312,0.018038811429891905,1.0,1.0,,,,,
157,127914,314,0.027763853664836066,1.0,1.0,,,,,
158,128236,316,0.03125432208459643,0.5,0.75,,,,,
159,128846,318,0.03596280032252253,0.5,0.75,,,,,
160,130704,320,0.016029834398546446,1.0,1.0,,,,,
161,131698,322,0.015618644995858865,1.0,1.0,0.0160111462988798,1.0,1.0,,
162,132820,324,0.0225554583187108,1.0,1.0,,,,,
163,133142,326,0.01914911938205114,1.0,1.0,,,,,
164,133368,328,0.02933904199060635,1.0,1.0,,,,,
165,134106,330,0.016397169211784236,1.0,1.0,,,,,
166,135196,332,0.019881981643724806,1.0,1.0,,,,,
167,135854,334,0.019662053224546536,1.0,1.0,,,,,
168,136512,336,0.015525980838492838,1.0,1.0,,,,,
169,138114,338,0.021336850847280767,1.0,1.0,0.019284615903350438,1.0,1.0,,
170,138436,340,0.022320765870670584,1.0,1.0,,,,,
171,139174,342,0.028193570011101305,1.0,1.0,,,,,
172,141176,344,0.027038998377939806,1.0,1.0,,,,,
173,142842,346,0.022507849436880882,1.0,1.0,,,,,
174,143116,348,0.025260558404006584,1.0,1.0,,,,,
175,143358,350,0.020240133070828354,1.0,1.0,,,,,
176,143584,352,0.01982807593044397,1.0,1.0,,,,,
177,144018,354,0.0268186930241326,1.0,1.0,0.06387465741715069,0.5,0.75,,
178,144436,356,0.028263096468682098,1.0,1.0,,,,,
179,146214,358,0.018526388327034612,1.0,1.0,,,,,
180,146968,360,0.029449073035014,1.0,1.0,,,,,
181,148202,362,0.016843574613201594,1.0,1.0,,,,,
182,151900,364,0.013633845678082212,1.0,1.0,,,,,
183,152670,366,0.023664668385735842,1.0,1.0,,,,,
184,153136,368,0.022752609204150665,1.0,1.0,,,,,
185,153858,370,0.02481614957625021,1.0,1.0,0.018127191193023088,1.0,1.0,,
186,154836,372,0.018039038661706593,1.0,1.0,,,,,
187,155318,374,0.024770142454947432,0.5,0.75,,,,,
188,156424,376,0.020549398665451774,1.0,1.0,,,,,
189,156906,378,0.021226004839523135,1.0,1.0,,,,,
190,157308,380,0.02339812253385062,0.5,0.75,,,,,
191,158094,382,0.01815544190628655,1.0,1.0,,,,,
192,158368,384,0.038948816247072554,0.5,0.75,,,,,
193,159330,386,0.017748267984745325,1.0,1.0,0.022800025248078393,1.0,1.0,,
194,159636,388,0.029530234575236375,1.0,1.0,,,,,
195,161430,390,0.015840866333775686,0.5,0.75,,,,,
196,162152,392,0.016951750457602124,1.0,1.0,,,,,
197,162394,394,0.02009128051607695,1.0,1.0,,,,,
198,162700,396,0.03337183430408387,1.0,1.0,,,,,
199,162830,398,0.04519667441923957,0.5,0.75,,,,,
200,164016,400,0.007680471236039798,1.0,1.0,,,,,
201,164642,402,0.018777064090511254,1.0,1.0,0.01913372753689394,1.0,1.0,,
202,167412,404,0.011702476805314438,1.0,1.0,,,,,
203,168182,406,0.01841405925837421,1.0,1.0,,,,,
204,169240,408,0.021631530292100003,1.0,1.0,,,,,
205,170426,410,0.02119995949891721,1.0,1.0,,,,,
206,171548,412,0.021323762399351836,1.0,1.0,,,,,
207,172446,414,0.022091499344305706,1.0,1.0,,,,,
208,172768,416,0.04234768797930895,0.5,0.75,,,,,
209,173090,418,0.02141357199034246,1.0,1.0,0.03699458855313423,0.5,0.75,,
210,173844,420,0.034257212955570604,0.5,0.75,,,,,
